Post Title,Content Type,Engagement Rate (%),Total Engagement,Impressions,Hashtags,Created Date
"What will define Data Engineering in 2026? 🚀

We asked the experts, and their insights point to fundamental shifts.

Slide through to check out the expected trends—from Data Product Design to Smart Serverless Pipelines. 👇

#DataEngineering #DataTransformation #AI #BusinessIntelligence

Yogaprabha Jayachandran Loganathan Sivalingam Sai Prasean Reddy Shivareddygari Meghana K M Harsha Singh Dushyant Pawar",Carousel,21.73,442,2034,"#DataEngineering, #DataTransformation, #AI, #BusinessIntelligence",10/30/2025
"💻 Real-world problems demand real-world solutions. Our latest case study details how we transformed demand planning for a leading personal care brand by streamlining their forecasting. 

The result? Enabled planning and accelerated revenue growth. 📈 

🔗 Visit our website for more information about the work we do: https://lnkd.in/gtatUXpy

#DemandPlanning #SupplyChain #Forecasting #DigitalTransformation

Priyanka Prasad ",Carousel,7.1,91,1281,"#DemandPlanning, #SupplyChain, #Forecasting, #DigitalTransformation",10/23/2025
Festive greetings from all of us Acies Global! ✨ #Team #Celebration #Joy #Diwali,Video,4.2,74,1764,"#Team, #Celebration, #Joy, #Diwali",10/20/2025
"👩‍💻👨‍💻 We're hiring at Acies Global!

We are on the lookout for skilled individuals to join our team! We would love to connect with you if your expertise and experience align with the positions listed below:

🟨 𝐃𝐚𝐭𝐚 𝐒𝐜𝐢𝐞𝐧𝐭𝐢𝐬𝐭 
 Required experience: 2-12 years (Bengaluru or Chennai)

🔲 𝐅𝐮𝐥𝐥 𝐒𝐭𝐚𝐜𝐤 𝐄𝐧𝐠𝐢𝐧𝐞𝐞𝐫 (𝐄𝐥𝐢𝐱𝐢𝐫)
Required experience: 4-6 years (Bengaluru or Chennai)

🟨 𝐅𝐮𝐥𝐥-𝐒𝐭𝐚𝐜𝐤 .𝐍𝐄𝐓 𝐋𝐞𝐚𝐝
Required experience: 6+ years (Chennai)

🔲 𝐁𝐮𝐬𝐢𝐧𝐞𝐬𝐬 𝐀𝐧𝐚𝐥𝐲𝐬𝐭
Required experience: 4+ years (Bengaluru or Chennai)

🟨 𝐕𝐢𝐬𝐮𝐚𝐥 𝐂𝐨𝐧𝐭𝐞𝐧𝐭 𝐂𝐫𝐞𝐚𝐭𝐨𝐫
Required experience: 4+ years (Bengaluru)

📩 Excited to take the next step in your career? We want to hear from you! Please send your resume to 𝐡𝐫.𝐫𝐞𝐜𝐫𝐮𝐢𝐭@𝐚𝐜𝐢𝐞𝐬𝐠𝐥𝐨𝐛𝐚𝐥.𝐜𝐨𝐦 and make sure to include the position you're applying for in the subject line. 

#Hiring #HiringAlert #Jobs #Recruitment #WeAreHiring ",Image,5.48,520,9483,"#Hiring, #HiringAlert, #Jobs, #Recruitment, #WeAreHiring",10/14/2025
"We are pleased to announce our participation in Oracle AI World in Las Vegas next week.

Our Founder & CEO, Mukund Raghunath is ready to meet and engage with the global community of Oracle experts, partners, and industry leaders. We look forward to meaningful discussions and forging new connections at this premier event.

We hope to see you there!

🔗 https://lnkd.in/eW84v-kT

#OracleAI #AIWorld #AI #Oracle",Image,6.75,68,1007,"#OracleAI, #AIWorld, #AI, #Oracle",10/09/2025
"And that's a wrap! 🎙️ 
We've just returned from CSCMP EDGE 2025, and being amongst the vibrant supply chain community was an unforgettable experience!

We had the honor of speaking at the Innovation Theater, where we showcased our work on using Agentic AI to proactively mitigate tariff-related disruptions and leveraging LLMs to manage vendor contracts.

It was also a fantastic opportunity to meet, chat, and network with attendees from varied backgrounds. A heartfelt thanks to everyone who contributed to making this event truly memorable!  

CSCMP - Council of Supply Chain Management Professionals Rick Blasgen Vijay Sankararaman Mukund Raghunath Vamsi Priyatham",Image,13.81,199,1441,Null,10/09/2025
"Curious about how we tackle real-world challenges at Acies Global? 💻 

📈 Take a look at our recent case study that highlights how we improved forecast accuracy for a multinational food and beverage company.

🔗 Here's more information on our work: https://lnkd.in/gxT2-RfD

#CaseStudy #DemandPlanning #Forecasting #SupplyChain #Inventory",Carousel,24.59,361,1468,"#CaseStudy, #DemandPlanning, #Forecasting, #SupplyChain, #Inventory",10/09/2025
"Please join us at the Innovation Theater, where our esteemed speakers, Vijay Sankararaman (Board Advisor) and Vamsi Priyatham (Senior Consultant), will share valuable insights and discuss real-world applications of Generative AI in the supply chain function.

We look forward to welcoming you to this prominent industry event.

🔗 https://lnkd.in/gM6vbdgM

#GenAi #SupplyChain #CSCMP #CSCMPEdge #SupplyChainProfessionals",Image,6.59,96,1457,"#GenAi, #SupplyChain, #CSCMP, #CSCMPEdge, #SupplyChainProfessionals",10/06/2025
"The people you know, the stories you didn't. 
Beyond the keyboards, screens, boardrooms, and meetings, here's the amazing story of Aravind Pramod and his inspiring journey of discovery and growth. 💻 

Meet the team here: https://lnkd.in/gVfkNbB4

#Story #Team #Discovery #Life #Inspiration",Video,13.03,175,1343,"#Story, #Team, #Discovery, #Life, #Inspiration",10/04/2025
"The CSCMP Edge 2025 event is almost here! We're excited to be at National Harbor, Maryland on Tuesday, October 7th.

Catch the Acies Global team in action. Join us at the Innovation Theater on Tuesday where Vijay Sankararaman (Board Advisor, Acies Global) and Vamsi Priyatham (Senior Consultant, Acies Global) will share cutting edge ideas and real world examples of Gen AI in action.

Let's connect in person—don't miss Supply Chain's premier event!",Image,7.02,109,1553,Null,09/29/2025
"Curious about how we solve real-world problems at Acies Global? 👩‍💻 

Our latest case study explores how we handled migration of OBIEE Reports to OAC.

🔗 Learn more about our work here: 
https://lnkd.in/gsjc6Uh2 

#CaseStudy #OBIEE #ADW #OAC #Oracle",Carousel,36.98,379,1025,"#CaseStudy, #OBIEE, #ADW, #OAC, #Oracle",09/26/2025
